,date,T,TM,Tm,SLP,H,PP,VV,V,VM,Month,years
46,9,28.0,37.0,19.0,1007.7,25.0,0.0,10.0,25.7,31.3,3,1973
47,10,27.0,37.0,19.0,1009.9,32.0,0.0,10.0,21.3,29.4,3,1973
48,14,21.0,31.0,11.0,1014.0,38.0,0.0,2.7,11.3,14.8,3,1973
49,15,21.5,30.0,12.0,1014.5,42.0,0.0,6.4,10.9,21.9,3,1973
50,16,22.0,32.0,11.0,1013.1,18.0,0.0,8.9,8.7,18.3,3,1973
51,20,25.78,34.53333333333333,16.866666666666667,1010.7384615384616,28.142857142857142,0.0,9.24,12.007142857142856,18.97142857142857,3,1973
52,21,28.5,36.0,18.0,1010.9,22.0,0.0,10.0,12.007142857142856,18.97142857142857,3,1973
53,22,25.78,34.53333333333333,16.866666666666667,1010.7384615384616,28.142857142857142,0.0,9.24,12.007142857142856,18.97142857142857,3,1973
54,23,26.2,34.0,17.0,1012.1,22.0,0.0,10.0,9.4,18.3,3,1973
55,24,24.3,35.0,19.0,1010.7384615384616,29.0,0.0,12.6,6.3,9.1,3,1973
56,25,25.78,34.53333333333333,16.866666666666667,1010.7384615384616,28.142857142857142,0.0,9.24,12.007142857142856,18.97142857142857,3,1973
57,29,30.0,40.0,20.0,1007.9,23.0,0.0,10.0,6.9,16.5,3,1973
58,30,30.5,37.0,23.0,1008.3,28.142857142857142,0.0,10.0,7.2,18.3,3,1973
59,31,31.3,39.0,26.0,1010.0,16.0,0.0,10.0,16.5,18.3,3,1973
60,1,29.3,38.0,22.0,1004.1444444444444,18.0,0.0,10.0,9.1,14.8,4,1973
61,2,32.0,41.0,23.2,1004.1444444444444,20.7,0.0,9.833333333333334,13.07,19.48,4,1973
62,3,30.6,39.0,22.0,1007.3,17.0,0.0,10.0,9.4,18.3,4,1973
63,4,32.0,41.0,23.2,1004.1444444444444,20.7,0.0,9.833333333333334,13.07,19.48,4,1973
64,5,30.3,40.0,25.0,1005.9,19.0,0.0,10.0,16.9,21.9,4,1973
65,9,32.0,41.0,23.2,1004.1444444444444,20.7,0.0,9.833333333333334,13.07,19.48,4,1973
66,10,32.2,41.0,23.0,1004.3,25.0,0.0,10.0,9.4,18.3,4,1973
67,11,31.0,41.0,22.0,1005.0,28.0,0.0,10.0,17.4,24.1,4,1973
68,12,34.0,43.0,25.0,1001.4,19.0,0.0,9.833333333333334,17.4,18.3,4,1973
69,13,32.0,41.0,23.2,1004.1444444444444,20.7,0.0,9.833333333333334,13.07,19.48,4,1973
70,15,32.0,41.0,23.2,1004.1444444444444,20.7,0.0,9.833333333333334,13.07,19.48,4,1973
71,16,32.0,41.0,23.2,1004.1444444444444,20.7,0.0,9.833333333333334,13.07,19.48,4,1973
72,19,33.3,41.0,22.0,1005.1,13.0,0.0,10.0,8.7,21.9,4,1973
73,20,32.0,41.0,23.2,1004.1444444444444,20.7,0.0,9.833333333333334,13.07,19.48,4,1973
74,21,31.8,42.0,22.0,1002.3,20.0,0.0,8.5,12.4,18.3,4,1973
75,22,34.0,42.0,25.0,1002.7,22.0,0.0,10.0,10.6,14.8,4,1973
76,24,32.0,41.0,23.2,1004.1444444444444,20.7,0.0,9.833333333333334,13.07,19.48,4,1973
77,26,32.0,41.0,23.2,1004.1444444444444,20.7,0.0,9.833333333333334,13.07,19.48,4,1973
78,27,32.0,41.0,23.2,1004.1444444444444,20.7,0.0,9.833333333333334,13.07,19.48,4,1973
79,28,32.0,41.0,23.2,1004.1444444444444,20.7,0.0,9.833333333333334,13.07,19.48,4,1973
80,30,33.5,43.0,24.0,1003.3,26.0,0.0,10.0,19.4,24.1,4,1973
81,1,33.8,43.0,26.0,1002.0,25.0,0.0,10.0,18.7,25.9,5,1973
82,2,32.5,42.0,23.0,1002.0,30.0,0.0,10.0,19.6,21.9,5,1973
83,3,32.0,41.0,26.0,1002.3,50.0,0.0,10.0,23.3,31.3,5,1973
84,4,33.3,41.77777777777778,26.11111111111111,1002.6777777777778,31.77777777777778,0.0,10.555555555555555,21.825,28.587500000000002,5,1973
85,5,33.3,41.77777777777778,26.11111111111111,1002.6777777777778,31.77777777777778,0.0,10.555555555555555,21.825,28.587500000000002,5,1973
86,6,33.3,41.77777777777778,26.11111111111111,1002.6777777777778,31.77777777777778,0.0,10.555555555555555,21.825,28.587500000000002,5,1973
87,7,33.3,41.77777777777778,26.11111111111111,1002.6777777777778,31.77777777777778,0.0,10.555555555555555,21.825,28.587500000000002,5,1973
88,11,32.3,41.0,25.0,1002.4,41.0,0.0,10.0,27.6,33.2,5,1973
89,12,33.3,41.77777777777778,26.11111111111111,1002.6777777777778,31.77777777777778,0.0,10.555555555555555,21.825,28.587500000000002,5,1973
90,13,30.5,40.0,25.0,1002.7,50.0,0.0,10.0,23.5,31.3,5,1973
91,14,33.3,41.77777777777778,26.11111111111111,1002.6777777777778,31.77777777777778,0.0,10.555555555555555,21.825,28.587500000000002,5,1973
92,15,33.3,41.77777777777778,26.11111111111111,1002.6777777777778,31.77777777777778,0.0,10.555555555555555,21.825,28.587500000000002,5,1973
93,16,33.3,41.77777777777778,26.11111111111111,1002.6777777777778,31.77777777777778,0.0,10.555555555555555,21.825,28.587500000000002,5,1973
94,17,32.0,37.0,28.0,1007.0,36.0,0.0,15.0,21.7,33.2,5,1973
95,18,33.3,41.77777777777778,26.11111111111111,1002.6777777777778,31.77777777777778,0.0,10.555555555555555,21.825,28.587500000000002,5,1973
96,22,33.3,41.77777777777778,26.11111111111111,1002.6777777777778,31.77777777777778,0.0,10.555555555555555,21.825,28.587500000000002,5,1973
97,23,33.3,41.77777777777778,26.11111111111111,1002.6777777777778,31.77777777777778,0.0,10.555555555555555,21.825,28.587500000000002,5,1973
98,24,35.6,44.0,27.0,1002.5,15.0,0.0,10.0,17.2,24.1,5,1973
99,25,35.0,45.0,28.0,1002.3,17.0,0.0,10.0,21.825,28.587500000000002,5,1973
100,26,36.0,43.0,27.0,1000.9,22.0,0.0,10.0,23.0,27.8,5,1973
101,27,33.3,41.77777777777778,26.11111111111111,1002.6777777777778,31.77777777777778,0.0,10.555555555555555,21.825,28.587500000000002,5,1973
102,30,33.3,41.77777777777778,26.11111111111111,1002.6777777777778,31.77777777777778,0.0,10.555555555555555,21.825,28.587500000000002,5,1973
103,31,33.3,41.77777777777778,26.11111111111111,1002.6777777777778,31.77777777777778,0.0,10.555555555555555,21.825,28.587500000000002,5,1973
104,1,29.581818181818182,35.63636363636363,24.545454545454547,1000.9727272727273,65.0,0.5536363636363636,9.718181818181819,20.28,27.75,6,1973
105,2,34.8,42.0,28.0,1000.3,31.0,0.0,10.0,13.0,22.2,6,1973
106,3,33.6,41.0,26.0,1001.2,38.0,0.0,10.0,13.5,18.3,6,1973
107,4,31.2,41.0,23.0,1000.5,50.0,0.0,10.0,21.3,27.8,6,1973
108,5,29.581818181818182,35.63636363636363,24.545454545454547,1000.9727272727273,65.0,0.5536363636363636,9.718181818181819,20.28,27.75,6,1973
109,7,29.581818181818182,35.63636363636363,24.545454545454547,1000.9727272727273,65.0,0.5536363636363636,9.718181818181819,20.28,27.75,6,1973
110,10,29.581818181818182,35.63636363636363,24.545454545454547,1000.9727272727273,65.0,0.5536363636363636,9.718181818181819,20.28,27.75,6,1973
111,11,27.4,32.0,24.0,999.6,79.0,2.03,10.0,13.0,22.2,6,1973
112,12,27.2,33.0,23.0,999.8,82.0,4.06,10.0,10.0,14.8,6,1973
113,13,29.581818181818182,35.63636363636363,24.545454545454547,1000.9727272727273,65.0,0.5536363636363636,9.718181818181819,20.28,27.75,6,1973
114,14,25.2,27.0,23.0,998.7,89.0,0.0,8.9,31.1,40.7,6,1973
115,16,29.581818181818182,35.63636363636363,24.545454545454547,1000.9727272727273,65.0,0.5536363636363636,9.718181818181819,20.28,27.75,6,1973
116,17,29.581818181818182,35.63636363636363,24.545454545454547,1000.9727272727273,65.0,0.5536363636363636,9.718181818181819,20.28,27.75,6,1973
117,19,29.581818181818182,35.63636363636363,24.545454545454547,1000.9727272727273,65.0,0.5536363636363636,9.718181818181819,20.28,27.75,6,1973
118,21,29.581818181818182,35.63636363636363,24.545454545454547,1000.9727272727273,65.0,0.5536363636363636,9.718181818181819,20.28,27.75,6,1973
119,22,29.2,35.0,24.0,1003.7,66.0,0.0,4.0,36.5,46.5,6,1973
120,23,29.581818181818182,35.63636363636363,24.545454545454547,1000.9727272727273,65.0,0.5536363636363636,9.718181818181819,20.28,27.75,6,1973
121,24,29.0,36.0,25.0,1002.7,73.0,0.0,6.4,22.6,29.4,6,1973
122,25,30.0,37.0,25.0,1002.5,70.0,0.0,7.6,21.1,27.8,6,1973
123,29,30.5,36.0,26.0,1000.0,65.0,0.0,20.0,20.7,27.8,6,1973
124,30,27.3,32.0,23.0,1001.7,72.0,0.0,10.0,20.28,27.75,6,1973
125,1,24.166666666666668,28.25,22.375,1000.9125,91.5,14.956249999999999,5.966666666666667,18.155555555555555,30.18888888888889,7,1973
126,2,24.0,25.0,23.0,1001.4,95.0,17.02,5.5,9.3,14.8,7,1973
127,3,24.166666666666668,28.25,22.375,1000.9125,91.5,14.956249999999999,5.966666666666667,18.155555555555555,30.18888888888889,7,1973
128,4,25.5,33.0,24.0,996.6,88.0,0.51,9.0,13.5,18.3,7,1973
129,5,24.166666666666668,28.25,22.375,1000.9125,91.5,14.956249999999999,5.966666666666667,18.155555555555555,30.18888888888889,7,1973
130,6,26.5,30.0,24.0,995.0,85.0,5.08,10.0,2.4,9.4,7,1973
131,7,24.166666666666668,28.25,22.375,1000.9125,91.5,14.956249999999999,5.966666666666667,18.155555555555555,30.18888888888889,7,1973
132,8,24.166666666666668,28.25,22.375,1000.9125,91.5,14.956249999999999,5.966666666666667,18.155555555555555,30.18888888888889,7,1973
133,9,24.166666666666668,28.25,22.375,1000.9125,91.5,14.956249999999999,5.966666666666667,18.155555555555555,30.18888888888889,7,1973
134,11,24.166666666666668,28.25,22.375,1000.9125,91.5,14.956249999999999,5.966666666666667,18.155555555555555,30.18888888888889,7,1973
135,12,24.166666666666668,28.25,22.375,1000.9125,91.5,14.956249999999999,5.966666666666667,18.155555555555555,30.18888888888889,7,1973
136,14,24.166666666666668,28.25,22.375,1000.9125,91.5,14.956249999999999,5.966666666666667,18.155555555555555,30.18888888888889,7,1973
137,16,22.5,26.0,20.0,1000.9125,91.5,23.88,8.5,25.4,46.5,7,1973
138,17,24.166666666666668,28.25,22.375,1000.9125,91.5,14.956249999999999,5.966666666666667,18.155555555555555,30.18888888888889,7,1973
139,18,23.0,28.25,22.375,1001.8,99.0,18.03,2.6,22.6,29.4,7,1973
140,19,24.166666666666668,28.25,22.375,1000.9125,91.5,14.956249999999999,5.966666666666667,18.155555555555555,30.18888888888889,7,1973
141,20,24.2,29.0,22.0,1001.7,92.0,48.01,3.2,21.1,27.8,7,1973
142,22,24.166666666666668,28.25,22.375,1000.9125,91.5,14.956249999999999,5.966666666666667,18.155555555555555,30.18888888888889,7,1973
143,25,23.8,28.0,22.0,1004.0,91.0,14.956249999999999,4.5,19.3,27.8,7,1973
144,26,24.0,27.0,22.0,1002.8,90.0,1.02,6.9,19.8,29.4,7,1973
145,27,24.0,28.0,22.0,1004.0,92.0,6.1,3.5,30.0,68.3,7,1973
146,28,24.166666666666668,28.25,22.375,1000.9125,91.5,14.956249999999999,5.966666666666667,18.155555555555555,30.18888888888889,7,1973
147,29,24.166666666666668,28.25,22.375,1000.9125,91.5,14.956249999999999,5.966666666666667,18.155555555555555,30.18888888888889,7,1973
148,31,24.166666666666668,28.25,22.375,1000.9125,91.5,14.956249999999999,5.966666666666667,18.155555555555555,30.18888888888889,7,1973
149,1,21.2,30.0,22.375,1003.1,78.0,2.03,10.8,12.6,18.3,8,1973
150,2,26.2,30.0,22.0,1004.2,80.0,0.0,10.0,16.1,25.9,8,1973
151,3,28.6,35.0,22.0,1001.4,63.0,0.0,10.0,10.9,18.3,8,1973
152,5,24.8,29.11111111111111,22.375,1001.6222222222223,83.77777777777777,8.88857142857143,8.322222222222223,16.833333333333332,22.533333333333335,8,1973
153,7,24.8,29.11111111111111,22.375,1001.6222222222223,83.77777777777777,8.88857142857143,8.322222222222223,16.833333333333332,22.533333333333335,8,1973
154,9,24.8,29.11111111111111,22.375,1001.6222222222223,83.77777777777777,8.88857142857143,8.322222222222223,16.833333333333332,22.533333333333335,8,1973
155,10,25.3,29.0,23.0,1001.8,86.0,49.02,10.0,12.6,14.8,8,1973
156,11,24.8,29.11111111111111,22.375,1001.6222222222223,83.77777777777777,8.88857142857143,8.322222222222223,16.833333333333332,22.533333333333335,8,1973
157,12,24.8,29.11111111111111,22.375,1001.6222222222223,83.77777777777777,8.88857142857143,8.322222222222223,16.833333333333332,22.533333333333335,8,1973
158,13,24.8,29.11111111111111,22.375,1001.6222222222223,83.77777777777777,8.88857142857143,8.322222222222223,16.833333333333332,22.533333333333335,8,1973
159,14,24.8,29.11111111111111,22.375,1001.6222222222223,83.77777777777777,8.88857142857143,8.322222222222223,16.833333333333332,22.533333333333335,8,1973
160,15,25.0,29.0,23.0,999.6,84.0,0.0,10.0,10.0,18.3,8,1973
161,16,23.8,24.0,23.0,1001.5,94.0,8.88857142857143,10.0,17.6,22.2,8,1973
162,20,23.2,26.0,22.0,1000.0,93.0,7.11,3.2,27.2,29.4,8,1973
163,21,26.4,33.0,22.0,1001.9,80.0,4.06,4.0,21.9,27.8,8,1973
164,22,24.8,29.11111111111111,22.375,1001.6222222222223,83.77777777777777,8.88857142857143,8.322222222222223,16.833333333333332,22.533333333333335,8,1973
165,23,24.8,29.11111111111111,22.375,1001.6222222222223,83.77777777777777,8.88857142857143,8.322222222222223,16.833333333333332,22.533333333333335,8,1973
166,24,24.8,29.11111111111111,22.375,1001.6222222222223,83.77777777777777,8.88857142857143,8.322222222222223,16.833333333333332,22.533333333333335,8,1973
167,25,23.5,26.0,22.0,1001.1,96.0,8.88857142857143,6.9,22.6,27.8,8,1973
168,27,24.8,29.11111111111111,22.375,1001.6222222222223,83.77777777777777,8.88857142857143,8.322222222222223,16.833333333333332,22.533333333333335,8,1973
169,28,24.8,29.11111111111111,22.375,1001.6222222222223,83.77777777777777,8.88857142857143,8.322222222222223,16.833333333333332,22.533333333333335,8,1973
170,29,24.8,29.11111111111111,22.375,1001.6222222222223,83.77777777777777,8.88857142857143,8.322222222222223,16.833333333333332,22.533333333333335,8,1973
171,30,24.8,29.11111111111111,22.375,1001.6222222222223,83.77777777777777,8.88857142857143,8.322222222222223,16.833333333333332,22.533333333333335,8,1973
172,1,22.0,24.0,21.0,1003.1,95.0,2.03,5.1,31.1,33.5,9,1973
173,2,22.4,24.0,21.0,1003.0,95.0,0.0,4.0,23.7,40.7,9,1973
174,3,22.5,26.0,21.0,1003.8,93.0,11.875,5.5,26.5,33.5,9,1973
175,4,23.46666666666667,27.444444444444443,21.22222222222222,1005.6,89.33333333333333,11.875,7.822222222222222,16.855555555555554,22.433333333333334,9,1973
176,6,23.46666666666667,27.444444444444443,21.22222222222222,1005.6,89.33333333333333,11.875,7.822222222222222,16.855555555555554,22.433333333333334,9,1973
177,7,23.46666666666667,27.444444444444443,21.22222222222222,1005.6,89.33333333333333,11.875,7.822222222222222,16.855555555555554,22.433333333333334,9,1973
178,8,23.46666666666667,27.444444444444443,21.22222222222222,1005.6,89.33333333333333,11.875,7.822222222222222,16.855555555555554,22.433333333333334,9,1973
179,9,23.46666666666667,27.444444444444443,21.22222222222222,1005.6,89.33333333333333,11.875,7.822222222222222,16.855555555555554,22.433333333333334,9,1973
180,10,23.46666666666667,27.444444444444443,21.22222222222222,1005.6,89.33333333333333,11.875,7.822222222222222,16.855555555555554,22.433333333333334,9,1973
181,13,23.6,28.0,22.0,1006.3,89.0,0.0,10.0,20.7,24.1,9,1973
182,14,23.3,29.0,21.0,1007.0,90.0,0.0,10.0,13.9,18.3,9,1973
183,15,24.5,29.0,21.0,1007.2,77.0,0.0,10.0,11.7,18.3,9,1973
184,19,25.6,32.0,21.0,1007.0,81.0,0.0,10.0,11.1,14.8,9,1973
185,20,23.46666666666667,27.444444444444443,21.22222222222222,1005.6,89.33333333333333,11.875,7.822222222222222,16.855555555555554,22.433333333333334,9,1973
186,21,23.46666666666667,27.444444444444443,21.22222222222222,1005.6,89.33333333333333,11.875,7.822222222222222,16.855555555555554,22.433333333333334,9,1973
187,22,23.46666666666667,27.444444444444443,21.22222222222222,1005.6,89.33333333333333,11.875,7.822222222222222,16.855555555555554,22.433333333333334,9,1973
188,23,23.46666666666667,27.444444444444443,21.22222222222222,1005.6,89.33333333333333,11.875,7.822222222222222,16.855555555555554,22.433333333333334,9,1973
189,24,23.46666666666667,27.444444444444443,21.22222222222222,1005.6,89.33333333333333,11.875,7.822222222222222,16.855555555555554,22.433333333333334,9,1973
190,25,23.46666666666667,27.444444444444443,21.22222222222222,1005.6,89.33333333333333,11.875,7.822222222222222,16.855555555555554,22.433333333333334,9,1973
191,26,23.46666666666667,27.444444444444443,21.22222222222222,1005.6,89.33333333333333,11.875,7.822222222222222,16.855555555555554,22.433333333333334,9,1973
192,27,23.5,27.0,21.0,1005.2,95.0,53.09,6.9,7.4,11.1,9,1973
193,28,23.8,28.0,22.0,1007.8,89.0,39.88,8.9,5.6,7.6,9,1973
194,1,27.2,32.0,23.0,1004.0,67.0,1.02,10.0,7.8,9.4,10,1973
195,2,26.4,30.0,22.0,1003.8,65.0,0.0,10.0,10.7,16.5,10,1973
196,3,24.966666666666665,30.77777777777778,19.22222222222222,1007.2555555555556,54.77777777777778,0.11333333333333334,9.155555555555555,8.3875,13.925,10,1973
197,4,23.2,30.0,19.0,1006.6,54.0,0.0,10.0,9.3,14.8,10,1973
198,8,24.966666666666665,30.77777777777778,19.22222222222222,1007.2555555555556,54.77777777777778,0.11333333333333334,9.155555555555555,8.3875,13.925,10,1973
199,9,24.966666666666665,30.77777777777778,19.22222222222222,1007.2555555555556,54.77777777777778,0.11333333333333334,9.155555555555555,8.3875,13.925,10,1973
200,10,26.0,35.0,19.0,1006.5,47.0,0.0,10.0,8.3,9.4,10,1973
201,11,26.0,31.0,18.0,1007.4,50.0,0.0,8.5,7.0,11.1,10,1973
202,12,24.2,29.0,19.0,1007.1,51.0,0.0,8.9,7.4,14.8,10,1973
203,15,24.966666666666665,30.77777777777778,19.22222222222222,1007.2555555555556,54.77777777777778,0.11333333333333334,9.155555555555555,8.3875,13.925,10,1973
204,16,24.966666666666665,30.77777777777778,19.22222222222222,1007.2555555555556,54.77777777777778,0.11333333333333334,9.155555555555555,8.3875,13.925,10,1973
205,17,24.966666666666665,30.77777777777778,19.22222222222222,1007.2555555555556,54.77777777777778,0.11333333333333334,9.155555555555555,8.3875,13.925,10,1973
206,18,24.966666666666665,30.77777777777778,19.22222222222222,1007.2555555555556,54.77777777777778,0.11333333333333334,9.155555555555555,8.3875,13.925,10,1973
207,19,24.966666666666665,30.77777777777778,19.22222222222222,1007.2555555555556,54.77777777777778,0.11333333333333334,9.155555555555555,8.3875,13.925,10,1973
208,21,24.966666666666665,30.77777777777778,19.22222222222222,1007.2555555555556,54.77777777777778,0.11333333333333334,9.155555555555555,8.3875,13.925,10,1973
209,22,25.7,31.0,17.0,1011.0,41.0,0.0,8.5,8.3875,13.925,10,1973
210,23,24.966666666666665,30.77777777777778,19.22222222222222,1007.2555555555556,54.77777777777778,0.11333333333333334,9.155555555555555,8.3875,13.925,10,1973
211,24,23.2,30.0,16.0,1008.6,43.0,0.0,8.9,8.5,20.6,10,1973
212,25,24.966666666666665,30.77777777777778,19.22222222222222,1007.2555555555556,54.77777777777778,0.11333333333333334,9.155555555555555,8.3875,13.925,10,1973
213,26,24.966666666666665,30.77777777777778,19.22222222222222,1007.2555555555556,54.77777777777778,0.11333333333333334,9.155555555555555,8.3875,13.925,10,1973
214,27,22.8,29.0,20.0,1010.3,75.0,0.0,7.6,8.1,14.8,10,1973
215,31,24.966666666666665,30.77777777777778,19.22222222222222,1007.2555555555556,54.77777777777778,0.11333333333333334,9.155555555555555,8.3875,13.925,10,1973
216,1,20.614285714285714,28.428571428571427,13.0,1013.0333333333333,43.0,0.0,9.457142857142857,4.571428571428571,10.628571428571428,11,1973
217,2,20.614285714285714,28.428571428571427,13.0,1013.0333333333333,43.0,0.0,9.457142857142857,4.571428571428571,10.628571428571428,11,1973
218,3,21.0,30.0,15.0,1010.4,48.0,0.0,10.0,3.7,7.6,11,1973
219,4,20.614285714285714,28.428571428571427,13.0,1013.0333333333333,43.0,0.0,9.457142857142857,4.571428571428571,10.628571428571428,11,1973
220,5,20.614285714285714,28.428571428571427,13.0,1013.0333333333333,43.0,0.0,9.457142857142857,4.571428571428571,10.628571428571428,11,1973
221,6,20.614285714285714,28.428571428571427,13.0,1013.0333333333333,43.0,0.0,9.457142857142857,4.571428571428571,10.628571428571428,11,1973
222,7,20.614285714285714,28.428571428571427,13.0,1013.0333333333333,43.0,0.0,9.457142857142857,4.571428571428571,10.628571428571428,11,1973
223,8,21.8,26.0,14.0,1008.8,47.0,0.0,10.9,4.1,11.1,11,1973
224,9,21.0,28.0,15.0,1010.8,49.0,0.0,10.0,4.6,11.1,11,1973
225,10,20.614285714285714,28.428571428571427,13.0,1013.0333333333333,43.0,0.0,9.457142857142857,4.571428571428571,10.628571428571428,11,1973
226,12,20.614285714285714,28.428571428571427,13.0,1013.0333333333333,43.0,0.0,9.457142857142857,4.571428571428571,10.628571428571428,11,1973
227,15,21.3,30.0,12.0,1013.0333333333333,42.0,0.0,8.5,8.3,11.1,11,1973
228,16,20.614285714285714,28.428571428571427,13.0,1013.0333333333333,43.0,0.0,9.457142857142857,4.571428571428571,10.628571428571428,11,1973
229,17,20.614285714285714,28.428571428571427,13.0,1013.0333333333333,43.0,0.0,9.457142857142857,4.571428571428571,10.628571428571428,11,1973
230,18,20.614285714285714,28.428571428571427,13.0,1013.0333333333333,43.0,0.0,9.457142857142857,4.571428571428571,10.628571428571428,11,1973
231,19,20.614285714285714,28.428571428571427,13.0,1013.0333333333333,43.0,0.0,9.457142857142857,4.571428571428571,10.628571428571428,11,1973
232,20,20.614285714285714,28.428571428571427,13.0,1013.0333333333333,43.0,0.0,9.457142857142857,4.571428571428571,10.628571428571428,11,1973
233,21,20.614285714285714,28.428571428571427,13.0,1013.0333333333333,43.0,0.0,9.457142857142857,4.571428571428571,10.628571428571428,11,1973
234,22,20.614285714285714,28.428571428571427,13.0,1013.0333333333333,43.0,0.0,9.457142857142857,4.571428571428571,10.628571428571428,11,1973
235,23,20.6,30.0,12.0,1014.9,41.0,0.0,10.0,3.1,7.6,11,1973
236,24,20.614285714285714,28.428571428571427,13.0,1013.0333333333333,43.0,0.0,9.457142857142857,4.571428571428571,10.628571428571428,11,1973
237,25,20.0,28.0,12.0,1018.1,25.0,0.0,8.4,4.1,14.8,11,1973
238,29,18.6,27.0,11.0,1015.2,49.0,0.0,8.4,4.1,11.1,11,1973
239,30,20.614285714285714,28.428571428571427,13.0,1013.0333333333333,43.0,0.0,9.457142857142857,4.571428571428571,10.628571428571428,11,1973
